order,date,name,total
145,2021-12-14,FALAFEL,7
145,2021-12-14,GRILLED KEBBE,14
145,2021-12-14,MAKDOUS,7
145,2021-12-14,RICE,4
145,2021-12-14,TEA,3
145,2021-12-14,TEA,3
146,2021-12-14,7UP,3
146,2021-12-14,7UP,3
146,2021-12-14,7UP,3
146,2021-12-14,GRILL MIX,14
146,2021-12-14,MEDIUM FRIES,3
146,2021-12-14,RIBS,16
146,2021-12-14,CHICKEN TAWOUK,14
147,2021-12-14,7UP,3
147,2021-12-14,COFFEE,3
147,2021-12-14,FALAFEL,7
147,2021-12-14,KNEFE NABULSIEH,7.5
147,2021-12-14,KNEFE NABULSIEH,7.5
147,2021-12-14,CHICKEN TAWOUK,14
148,2021-12-15,KNEFE NABULSIEH,7
148,2021-12-15,KNEFE NABULSIEH,7
148,2021-12-15,PROMO,-1
148,2021-12-15,PROMO,-1
148,2021-12-15,PROMO,-3
148,2021-12-15,RIBS,14
149,2021-12-15,GRILL MIX,14
149,2021-12-15,WATER,3
150,2021-12-15,FRIED KEBBE,2
151,2021-12-15,PROMO,-5
151,2021-12-15,PROMO,-2
151,2021-12-15,RIZ BAZELLA,7
151,2021-12-15,CHICKEN SHAWARMA,9
152,2021-12-15,FATTOUSH,8
152,2021-12-15,FRIED KEBBE,2
152,2021-12-15,FRIED KEBBE,2
152,2021-12-15,CHICKEN SHAWARMA,9
152,2021-12-15,SHORBAT ADAS,5
153,2021-12-16,FRIED KEBBE,2
154,2021-12-16,COFFEE,3
154,2021-12-16,COFFEE,3
154,2021-12-16,WATER,2
155,2021-12-16,SHORBAT ADAS,5
155,2021-12-16,SHORBAT ADAS,5
155,2021-12-16,SHORBAT ADAS,5
155,2021-12-16,SHORBAT ADAS,5
156,2021-12-16,BAKLAVA,3.5
156,2021-12-16,BAKLAVA,3.5
156,2021-12-16,COFFEE,3
156,2021-12-16,COFFEE,3
156,2021-12-16,WATER,3
157,2021-12-17,COCA COLA,3
157,2021-12-17,GRILL MIX,14
157,2021-12-17,KABBAB HINDI,14
157,2021-12-17,SFIHA,10
158,2021-12-17,COCA COLA,3
158,2021-12-17,COCA COLA,3
159,2021-12-17,KEBBE BI LABAN,14
159,2021-12-17,RIBS,14
159,2021-12-17,TEA,3
159,2021-12-17,TEA,3
160,2021-12-17,COCA COLA,3
160,2021-12-17,FANTA,3
161,2021-12-17,SANDWICH,4
161,2021-12-17,SANDWICH,5
162,2021-12-18,COCA COLA,3
162,2021-12-18,GRILL MIX,14
162,2021-12-18,GRILL MIX,14
162,2021-12-18,HUMMUS,7
162,2021-12-18,ICE TEA,3
163,2021-12-18,COCA COLA,3
163,2021-12-18,COCA COLA,3
163,2021-12-18,COCA COLA,3
163,2021-12-18,COCA COLA,3
163,2021-12-18,KABBAB HINDI,14
163,2021-12-18,KABBAB HINDI,14
163,2021-12-18,KABBAB HINDI,14
163,2021-12-18,KABSA,14
163,2021-12-18,CHICKEN SHAWARMA,18
166,2021-12-18,COFFEE,3
166,2021-12-18,COFFEE,3
166,2021-12-18,FALAFEL,7
166,2021-12-18,GRILL MIX,14
166,2021-12-18,HUMMUS AND BEEF,14
166,2021-12-18,KABSA,14
166,2021-12-18,FRIED KEBBE,14
166,2021-12-18,PROMO,-4
166,2021-12-18,PROMO,-4
166,2021-12-18,PROMO,-4
166,2021-12-18,PROMO,-2
166,2021-12-18,PROMO,-2
166,2021-12-18,PROMO,-2
166,2021-12-18,PROMO,-4
166,2021-12-18,PROMO,-3
166,2021-12-18,SFIHA,10
166,2021-12-18,TABBOULEH,9
166,2021-12-18,TEA,3
166,2021-12-18,TEA,3
166,2021-12-18,TEA,3
166,2021-12-18,VEGETARIEN MIX,9
166,2021-12-18,WATER,3
167,2021-12-18,KABSA,14
167,2021-12-18,LARGE FRIES,4
167,2021-12-18,CHICKEN SHAWARMA,4
167,2021-12-18,CHICKEN TAWOUK,14
167,2021-12-18,SHORBAT ADAS,5
167,2021-12-18,TEA,3
167,2021-12-18,WATER,3
168,2021-12-18,FALAFEL,7
168,2021-12-18,MOUSSAKA,7
168,2021-12-18,CHICKEN SHAWARMA,9
168,2021-12-18,VEGETARIEN MIX,9
169,2021-12-18,7UP,3
169,2021-12-18,COCA COLA,3
169,2021-12-18,FANTA,3
169,2021-12-18,FRIKEH,14
169,2021-12-18,HUMMUS,7
169,2021-12-18,KABBAB HINDI,14
169,2021-12-18,KABSA,14
169,2021-12-18,CHICKEN SHAWARMA,9
169,2021-12-18,TABBOULEH,9
169,2021-12-18,WATER,3
170,2021-12-18,ICE TEA,3
170,2021-12-18,KEBAB,14
170,2021-12-18,CHICKEN SHAWARMA,9
170,2021-12-18,TEA,3
171,2021-12-18,FRIED KEBBE,2
171,2021-12-18,FRIED KEBBE,2
171,2021-12-18,SHORBAT ADAS,5
171,2021-12-18,VEGETARIEN MIX,9
171,2021-12-18,VEGETARIEN MIX,9
171,2021-12-18,WATER,3
172,2021-12-18,PROMO,-4
172,2021-12-18,CHICKEN SHAWARMA,9
173,2021-12-18,7UP,3
173,2021-12-18,COCA COLA,3
173,2021-12-18,COCA COLA,3
173,2021-12-18,GRILL MIX,14
173,2021-12-18,GRILL MIX,14
173,2021-12-18,GRILL MIX,14
173,2021-12-18,VEGETARIEN MIX,9
